experiment,activation,seeds,num_seeds,metric,min_gamma,min_value,max_gamma,max_value,abs_range,rel_range_pct,largest_adjacent_gamma_pair,largest_adjacent_delta,gamma_values
discontinuous_gradient,gelu_b0_35,"42,43,44,45,46",5,near_grad,0.0,0.3611187814370227,10.0,0.396057252825558,0.034938471388535286,9.67506349282151,1->10,0.029378913281024377,0:0.361119; 0.01:0.378288; 0.1:0.370779; 1:0.366678; 10:0.396057
discontinuous_gradient,gelu_b0_35,"42,43,44,45,46",5,far_grad,0.1,0.10650480116883412,10.0,0.12990520489367005,0.023400403724835928,21.971219576985092,0.01->0.1,0.021081389503468745,0:0.106751; 0.01:0.127586; 0.1:0.106505; 1:0.125915; 10:0.129905
discontinuous_gradient,gelu_b0_35,"42,43,44,45,46",5,near_far_ratio,1.0,3.443352001329147,0.0,4.308651736559998,0.8652997352308511,25.129575335221087,0->0.01,0.8626609297815699,0:4.30865; 0.01:3.44599; 0.1:4.25632; 1:3.44335; 10:3.50523
discontinuous_gradient,gelu_b0_35,"42,43,44,45,46",5,neurons,10.0,24.6,0.0,29.4,4.799999999999997,19.512195121951205,0->0.01,3.0,0:29.4; 0.01:26.4; 0.1:27.6; 1:27; 10:24.6
discontinuous_gradient,gelu_b0_35,"42,43,44,45,46",5,near_score,10.0,9.465597751715748,0.0,10.260835015964359,0.7952372642486107,8.401342261818224,0->0.01,0.5098718291219075,0:10.2608; 0.01:9.75096; 0.1:9.88285; 1:9.65711; 10:9.4656
discontinuous_gradient,gelu_b0_35,"42,43,44,45,46",5,eval_h1,0.0,0.12740521949009168,10.0,0.14554139186517587,0.018136172375084192,14.235030909777322,1->10,0.010657183935361553,0:0.127405; 0.01:0.138024; 0.1:0.129722; 1:0.134884; 10:0.145541
discontinuous_gradient,gelu_b0_4,"42,43,44,45,46",5,near_grad,10.0,0.3161938569449504,1.0,0.3297064860852879,0.013512629140337518,4.273526775913954,1->10,0.013512629140337518,0:0.321562; 0.01:0.317906; 0.1:0.322977; 1:0.329706; 10:0.316194
discontinuous_gradient,gelu_b0_4,"42,43,44,45,46",5,far_grad,0.0,0.0634763493590948,1.0,0.08343679170739536,0.019960442348300564,31.445479379069962,0.1->1,0.013780427662528169,0:0.0634763; 0.01:0.0696277; 0.1:0.0696564; 1:0.0834368; 10:0.0772917
discontinuous_gradient,gelu_b0_4,"42,43,44,45,46",5,near_far_ratio,1.0,4.385621119127624,0.0,5.297135889621662,0.9115147704940378,20.784165930762253,0->0.01,0.6197533356165073,0:5.29714; 0.01:4.67738; 0.1:4.73913; 1:4.38562; 10:4.6261
discontinuous_gradient,gelu_b0_4,"42,43,44,45,46",5,neurons,0.1,32.2,0.0,35.8,3.5999999999999943,11.180124223602466,0->0.01,2.0,0:35.8; 0.01:33.8; 0.1:32.2; 1:34; 10:34.2
discontinuous_gradient,gelu_b0_4,"42,43,44,45,46",5,near_score,0.1,10.3053548992466,0.0,11.321670993821282,1.016316094574682,9.862019353151851,0.1->1,0.7209468910823773,0:11.3217; 0.01:10.605; 0.1:10.3054; 1:11.0263; 10:10.6481
discontinuous_gradient,gelu_b0_4,"42,43,44,45,46",5,eval_h1,0.0,0.09990224614188431,1.0,0.10837809461383346,0.008475848471949154,8.484142048129216,0.1->1,0.006588517096496951,0:0.0999022; 0.01:0.100763; 0.1:0.10179; 1:0.108378; 10:0.102992
discontinuous_gradient,gelu_b0_5,"42,43,44,45,46",5,near_grad,0.01,0.32542361544438436,0.0,0.34876622107255145,0.02334260562816709,7.172990686705831,0->0.01,0.02334260562816709,0:0.348766; 0.01:0.325424; 0.1:0.344944; 1:0.347494; 10:0.336401
discontinuous_gradient,gelu_b0_5,"42,43,44,45,46",5,far_grad,0.01,0.07698954348066718,0.0,0.10613599971681294,0.029146456236145757,37.85768159992365,0->0.01,0.029146456236145757,0:0.106136; 0.01:0.0769895; 0.1:0.0879073; 1:0.103119; 10:0.0920649
discontinuous_gradient,gelu_b0_5,"42,43,44,45,46",5,near_far_ratio,0.0,3.3957454033960897,0.01,4.2868507140454195,0.8911053106493299,26.24181747424687,0->0.01,0.8911053106493299,0:3.39575; 0.01:4.28685; 0.1:4.02868; 1:3.47041; 10:3.7348
discontinuous_gradient,gelu_b0_5,"42,43,44,45,46",5,neurons,1.0,27.4,0.01,33.4,6.0,21.897810218978105,0.1->1,5.600000000000001,0:30.4; 0.01:33.4; 0.1:33; 1:27.4; 10:31.8
discontinuous_gradient,gelu_b0_5,"42,43,44,45,46",5,near_score,1.0,9.526347831701997,0.1,11.385574737096356,1.8592269053943582,19.51668087540516,0.1->1,1.8592269053943582,0:10.5627; 0.01:10.83; 0.1:11.3856; 1:9.52635; 10:10.7104
